id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,5c4b59bc54ed0a6519617558be266aa6,2023-11-28T00:00:00,0,Москва,5701,Александр,Соколов,11,Хлеб ржаной,3,60
2,fc11222d1504be9cd0d61858f30a81f4,2023-11-28T00:00:00,2,Ярославль,3517,Светлана,Лебедева,9,Ручка шариковая,3,135
3,ca65630180c46ed96b02bdefa88cef3d,2023-11-28T00:00:00,2,Ярославль,8918,Снежанна,Орлова,8,Лампочка LED,3,900
4,54afdf22fe21c473b9e265b3f168eb46,2023-11-28T00:00:00,1,Ростов,4719,Екатерина,Павлова,1,Молоко 3%,4,480
5,d306016f9677f2da017b31da01b06973,2023-11-28T00:00:00,2,Ярославль,7902,Константин,Новиков,11,Хлеб ржаной,5,100
6,8ae7f1165f8dddead677144804c57cbd,2023-11-28T00:00:00,1,Ростов,5512,Оксана,Лебедева,10,Томаты,3,150
7,eb5659892a972d5a45ed900284d9f206,2023-11-28T00:00:00,2,Ярославль,4309,Сергей,Смирнов,8,Лампочка LED,4,1200
8,efc6b785c622af1f23c3cf5ae245ffc5,2023-11-28T00:00:00,2,Ярославль,4107,Сергей,Петров,7,Средство для мытья посуды,1,200
9,b5f79655ae8e7a2506cf42e89d8764b0,2023-11-28T00:00:00,0,Москва,3500,Олег,Попов,4,Сахар песок,5,250
10,7ec860902b75a437672a9517eff28b30,2023-11-28T00:00:00,0,Москва,1608,Евгений,Васильев,6,Яблоко,3,420
11,460dc69c13e151405211b0ca122146d1,2023-11-28T00:00:00,2,Ярославль,7400,Константин,Кузнецов,9,Ручка шариковая,1,45
12,c6bda812099f226e3a43bc6772dc611a,2023-11-28T00:00:00,1,Ростов,5200,Александр,Сидоров,11,Хлеб ржаной,5,100
13,f0afb051d525fdf9596ca4c36a17d303,2023-11-28T00:00:00,1,Ростов,5202,Александр,Сидоров,8,Лампочка LED,4,1200
14,317515e42222c5a9df1228f249568003,2023-11-28T00:00:00,1,Ростов,7811,Анна,Козлова,2,Молоко 5%,1,150
15,4e6b80778d16c4d3794e4d68bc223c86,2023-11-28T00:00:00,1,Ростов,7,Иван,Иванов,10,Томаты,5,250
16,14ee4f2a7e75ee27d393daed4b68cad4,2023-11-28T00:00:00,2,Ярославль,8400,Геннадий,Кузнецов,7,Средство для мытья посуды,3,600
17,e91e25b850f870dc25e1ce3f6720bc55,2023-11-28T00:00:00,1,Ростов,618,Александра,Егорова,4,Сахар песок,5,250
18,feeac6cf60457393c060282587dea548,2023-11-28T00:00:00,0,Москва,1617,Евгения,Егорова,4,Сахар песок,4,200
19,9d1fd72779f83b45952f06a5bfd216e2,2023-11-28T00:00:00,1,Ростов,7505,Константин,Попов,5,Яблоко молодильное,3,1200
20,a9db14039914e3b5587f4d34b142bddd,2023-11-28T00:00:00,1,Ростов,5918,Оксана,Орлова,4,Сахар песок,3,150
21,868a2ab4b4bf21929c203e9529140963,2023-11-28T00:00:00,2,Ярославль,1206,Евгений,Сидоров,5,Яблоко молодильное,5,2000
22,2bce692ecea61224e5e18d6dd6f917fe,2023-11-28T00:00:00,2,Ярославль,1903,Евгений,Новиков,10,Томаты,5,250
23,14b3746ed45fd450e0e1ce6d2f1c2853,2023-11-28T00:00:00,0,Москва,1514,Евгения,Лебедева,8,Лампочка LED,4,1200
24,6bb6fa99ed3575290bc7f35f805a513e,2023-11-28T00:00:00,0,Москва,2405,Петр,Кузнецов,10,Томаты,4,200
25,68d9254d663d3a35789fb485161e10e9,2023-11-28T00:00:00,1,Ростов,4103,Сергей,Петров,3,Устройство для нагревания табака Трубка Мира,4,2000
26,ae93c67a875e1e937fc55fccf13dc1c6,2023-11-28T00:00:00,1,Ростов,6919,Елизавета,Орлова,11,Хлеб ржаной,2,40
27,7518e852d527feb9b67278e70fa2cf71,2023-11-28T00:00:00,0,Москва,3100,Олег,Петров,2,Молоко 5%,3,450
28,74c0912c4aa093945d15a2339ce95898,2023-11-28T00:00:00,2,Ярославль,9619,Надежда,Егорова,8,Лампочка LED,5,1500
29,ca37dec13855a1eaa7273ff4aeda9bf2,2023-11-28T00:00:00,0,Москва,7713,Анна,Павлова,2,Молоко 5%,5,750
30,3f2ac13f1abac10b29349f78c2b85eca,2023-11-28T00:00:00,0,Москва,2813,Ольга,Козлова,10,Томаты,5,250
31,025c5e108ff0e3ea539c99909d891bee,2023-11-28T00:00:00,0,Москва,9605,Эдуард,Васильев,8,Лампочка LED,2,600
32,955b8ecedcce0119610c6d194b209712,2023-11-28T00:00:00,2,Ярославль,8311,Снежанна,Волкова,1,Молоко 3%,1,120
33,b10c35517aaae1109a31224682be6e4d,2023-11-28T00:00:00,2,Ярославль,8302,Геннадий,Смирнов,0,Молоко 1%,4,400
34,9f32c7329a0d257020fd1d58fb4949fd,2023-11-28T00:00:00,0,Москва,6901,Алексей,Новиков,9,Ручка шариковая,4,180
35,2d40a36a35c0da4be422d22f853193ac,2023-11-28T00:00:00,2,Ярославль,8704,Геннадий,Соколов,1,Молоко 3%,2,240
36,741f7345096cad5830b423a1f67e541d,2023-11-28T00:00:00,2,Ярославль,1914,Евгения,Орлова,2,Молоко 5%,2,300
37,496d56112526f169e490eb2c33d80a13,2023-11-28T00:00:00,0,Москва,3910,Светлана,Орлова,5,Яблоко молодильное,4,1600
38,5bffb54e44537e2301c01f25eb541cc5,2023-11-28T00:00:00,2,Ярославль,2602,Петр,Васильев,10,Томаты,5,250
39,c6e648a5f84d5e250c3ef29e2870983a,2023-11-28T00:00:00,1,Ростов,4203,Сергей,Сидоров,8,Лампочка LED,1,300
40,7a5553f64a1e529bb1c4688d356a5ac2,2023-11-28T00:00:00,0,Москва,5212,Оксана,Морозова,0,Молоко 1%,3,300
41,e9f3142dfb4a9de60cc42814c73c8674,2023-11-28T00:00:00,1,Ростов,4901,Сергей,Новиков,11,Хлеб ржаной,4,80
42,66509eb7607db1b567ff9941b405db77,2023-11-28T00:00:00,0,Москва,3611,Светлана,Егорова,3,Устройство для нагревания табака Трубка Мира,5,2500
